#timestamp [ns],p_RS_R_x [m],p_RS_R_y [m],p_RS_R_z [m],q_RS_w [],q_RS_x [],q_RS_y [],q_RS_z []
8721130801740,-0.6509807706,1.5213298798,0.2991783023,0.2943254578,-0.7700986520,-0.5378506541,0.1761739623
8721164083340,-0.6906192303,1.5261830091,0.3265423179,0.3256046793,-0.7488222169,-0.5346915160,0.2176048322
8721197372340,-0.7389294505,1.5314664841,0.3706163764,0.3672138232,-0.7199087306,-0.5238179846,0.2692585128
8721230667640,-0.7895993590,1.5392115116,0.4297286570,0.4175436491,-0.6798181039,-0.5056291451,0.3283958196
8721263951840,-0.8385202289,1.5453137159,0.5025921464,0.4750771273,-0.6249512702,-0.4753513981,0.3972136468
8721297243140,-0.8804015517,1.5506039858,0.5861642957,0.5309406028,-0.5564689717,-0.4356123402,0.4676390156
8721330535640,-0.9090853333,1.5546104908,0.6742398739,0.5769703248,-0.4822616460,-0.3911191428,0.5306173434
8721363819640,-0.9218439460,1.5571171045,0.7613270879,0.6119974937,-0.4080661890,-0.3473039020,0.5816537223
8721397108640,-0.9255356193,1.5588366985,0.8400705457,0.6347206784,-0.3386735593,-0.3048156775,0.6241131975
8721430397340,-0.9223377705,1.5608999729,0.9060350657,0.6436004598,-0.2804854792,-0.2637938840,0.6614522892
8721463687840,-0.9159805775,1.5636034012,0.9577906132,0.6424995391,-0.2358650466,-0.2308772705,0.6915617890
8721496977640,-0.9088034630,1.5683028698,0.9933112264,0.6399868089,-0.2020492540,-0.2062503831,0.7120770765
8721530265040,-0.9092850685,1.5734777451,1.0098450184,0.6348376499,-0.1859037469,-0.2036730081,0.7217605288
8721563555740,-0.9186983109,1.5755555630,1.0049340725,0.6242655720,-0.1959062841,-0.2295134072,0.7205808902
8721596844240,-0.9254330397,1.5750172138,0.9637846351,0.6090187696,-0.2145499918,-0.2664634739,0.7155848353
8721630172940,-0.9393389225,1.5742510557,0.9193460941,0.5859202883,-0.2463419693,-0.3198809375,0.7026302269
8721663423140,-0.9517172575,1.5730996132,0.8571103215,0.5477068688,-0.2928466321,-0.3930057645,0.6780888622
8721696712240,-0.9589851499,1.5711225271,0.7806326151,0.4985664555,-0.3441664120,-0.4679318451,0.6434444488
8721730002740,-0.9494906068,1.5632168055,0.7047224045,0.4455066023,-0.3805772406,-0.5347718832,0.6088545509
8721763297240,-0.9372081161,1.5618999004,0.6239023805,0.3904982231,-0.4091987022,-0.5937972840,0.5722519946
8721796580240,-0.9175449014,1.5628480911,0.5500945449,0.3421899699,-0.4240507512,-0.6474373384,0.5328338182
8721829870340,-0.8925991058,1.5672830343,0.4824930131,0.3008415587,-0.4273573002,-0.6973966101,0.4904060182
8721863167740,-0.8646237254,1.5723427534,0.4203037620,0.2634152597,-0.4277831332,-0.7376719227,0.4510588945
8721896448640,-0.8358008265,1.5782462358,0.3685460389,0.2289535841,-0.4231373971,-0.7747052372,0.4103252306
8721929738340,-0.8087486625,1.5834388733,0.3294328451,0.1964647576,-0.4146052207,-0.8054571565,0.3751571391
8721963033740,-0.7874598503,1.5815640688,0.3029656112,0.1688435908,-0.4055918660,-0.8292553843,0.3454310174
8721996316940,-0.7767474055,1.5750582218,0.2925079465,0.1465289850,-0.3931636999,-0.8486767772,0.3220237404
8722029606840,-0.7750086784,1.5617605448,0.2973873913,0.1296209023,-0.3820577940,-0.8599090086,0.3127087474
8722062902340,-0.7871205807,1.5412911177,0.3216768503,0.1248454414,-0.3699488530,-0.8607805115,0.3265093766
8722096185940,-0.8081062436,1.5117720366,0.3481302559,0.1362266276,-0.3517967461,-0.8511630764,0.3649695503
8722129475540,-0.8364938498,1.4751144648,0.3897075951,0.1554806581,-0.3275649638,-0.8303392004,0.4231592745
8722162764140,-0.8687281013,1.4342679977,0.4492578804,0.1762425575,-0.2966052249,-0.7973058102,0.4952447339
8722196054240,-0.8942072392,1.3960341215,0.5221566558,0.1962290945,-0.2609694524,-0.7494473240,0.5759494734
8722229344340,-0.9154450297,1.3635884523,0.5994969606,0.2124166663,-0.2194885190,-0.6959777557,0.6498606878
8722262631740,-0.9311215281,1.3387273550,0.6834254861,0.2228886454,-0.1833166753,-0.6371436031,0.7146773239
8722295922540,-0.9353523850,1.3217327595,0.7652705312,0.2262882357,-0.1520495905,-0.5732285544,0.7727118355
8722329210440,-0.9345958233,1.3126348257,0.8422214389,0.2258163879,-0.1249896682,-0.5084549872,0.8214974545
8722362500540,-0.9311034679,1.3100284338,0.9113280177,0.2212898842,-0.1037842832,-0.4427383168,0.8626948432
8722395790840,-0.9261501431,1.3113130331,0.9679888487,0.2112731807,-0.0858899900,-0.3805937838,0.8961779536
8722429078740,-0.9195416570,1.3151661158,1.0022100210,0.1995225054,-0.0716385824,-0.3347099045,0.9181655424
8722462368940,-0.9158186913,1.3129280806,1.0229659081,0.1854130975,-0.0636746105,-0.3200237880,0.9269046889
8722495683740,-0.9149207473,1.3042477369,1.0288522243,0.1630844897,-0.0643954566,-0.3273091567,0.9285070761
8722528946740,-0.9148108959,1.2911008596,0.9926409125,0.1396209109,-0.0647952463,-0.3523192897,0.9231352531
8722562237540,-0.9201426506,1.2756408453,0.9506174922,0.1177817725,-0.0650988549,-0.3969964111,0.9079005687
8722595538440,-0.9255228043,1.2568557262,0.9038777947,0.0954624273,-0.0657725563,-0.4543782509,0.8832334351
8722628814640,-0.9303922653,1.2402305603,0.8450518847,0.0728581298,-0.0675749531,-0.5232147383,0.8463874150
8722662105040,-0.9339973927,1.2303534746,0.7707142234,0.0535553380,-0.0693262002,-0.6014945505,0.7940591977
8722695429640,-0.9394297004,1.2320306301,0.6951346397,0.0368770247,-0.0679091881,-0.6821357562,0.7271308254
8722728684040,-0.9416226745,1.2421156168,0.6162028909,0.0276491330,-0.0647907001,-0.7450192192,0.6633129379
8722761973640,-0.9464335442,1.2606451511,0.5435376167,0.0280078955,-0.0488174422,-0.7960584384,0.6025971937
8722795267940,-0.9508939981,1.2852318287,0.4808419645,0.0279346837,-0.0285726341,-0.8363689246,0.5467085879
